Volkswagen Group;Automotive;288888; Germany
Toyota Group;Engineering, various;265172; Japan
Apple;Electronics;229234; United States
Samsung Electronics;Electronics, various;211940; South Korea
Daimler;Automotive;185235; Germany
Exor;Automotive;161677; Italy
General Motors;Automotive;157311; United States
Ford;Automotive;156776; United States
Hon Hai Precision Industry;Electronics;154699; Taiwan
Honda;Automotive;138646; Japan
Cardinal Health;Pharmaceuticals;129976; United States
SAIC Motor;Automotive;128819; China
General Electric;Engineering, various;122274; United States
BMW;Automotive;111231; Germany
Nissan;Automotive;107868; Japan
China Railway and Engineering Group;Engineering;102767; China
Boeing;Aerospace & Defense;93392; United States
Dongfeng Motor Group;Automotive;93294; China
Siemens;Engineering, various;91585; Germany
Nestle;Food & Beverages;91222;  Switzerland
Huawei;Telecommunications equipment, Electronics;89311; China
Bosch;Engineering, various;87997; Germany
Hyundai Motor Company;Automotive;85259; South Korea
Hitachi;Engineering, various;84559; Japan
Enel;Renewable energy;84134; Italy
Eni;Oil & gas;80006; Italy
IBM;Engineering, various;79139; United States
Dell;Electronics;78660; United States
Sony;Electronics;77116; Japan
Sinochem;Chemicals;76765; China
Johnson & Johnson;Personal care products;76450; United States
Airbus;Aerospace & Defense;75261; France
Peugeot;Automotive;73506; France
China Minmetals;Metals;72997; China
BASF;Chemicals;72677; Germany
Panasonic;Engineering, various;72045; Japan
Beijing Automotive Group;Automotive;69591; China
FAW Group;Automotive;69524; China
ArcelorMittal;Steel;68679; Luxembourg
Mitsubishi;Engineering, various;68301; Japan
Procter & Gamble;Consumer goods;66217; United States
Norinco;Aerospace & Defense;64646; China
PepsiCo;Food & Beverages;63525; United States
Intel;Electronics;62761; United States
DowDuPont;Chemicals;62683; United States
Unilever;Consumer goods;60548; Netherlands
United Technologies;Engineering, various;59837; United States
Aviation Industry Corporation of China;Aerospace & Defense;59263; China
China Baowu Steel Group;Steel;59255; China
ChemChina;Chemicals;57989; China
Hoffmann-La Roche;Pharmaceuticals;56634;  Switzerland
Renault;Automotive;56667; France
Anheuser-Busch InBev;Food & Beverages;56444; Belgium
LG Electronics;Electronics;54314; South Korea
POSCO;Steel;53244; South Korea
Shandong Weiqiao Pioneering Group;Textiles;53203; China
Pfizer;Pharmaceuticals;52546; United States
Hewlett-Packard;Electronics;52056; United States
Bayer;Pharmaceuticals;51933; Germany
Sinopharm;Pharmaceuticals;51844; China
Nippon Steel;Steel;51164; Japan
JBS S.A.;Food & Beverages;51118; Brazil
Lockheed Martin;Aerospace & Defense;51048; United States
Guangzhou Automobile Industry Group;Automotive;50323; China
Novartis;Pharmaceuticals;50135;  Switzerland
Continental;Tyres;49608; Germany
Christian Dior;Luxury goods;49221; France
Cisco Systems;Telecommunications equipment;48005; United States
ThyssenKrupp;Steel;47389; Germany
Kia Motors;Automotive;47360; South Korea
Aluminum Corporation of China;Aluminium;46684; China
Denso;Engineering, various;46106; Japan
Saint-Gobain;Building materials;46002; France
Tata Motors;Automotive;45842; India
Bunge Limited;Food, Beverages & Tabacco;45794; United States
Hengli Group;Textiles;45563; China
Caterpillar;Construction equipment;45462; United States
HBIS Group;Metals;45390; China
Lenovo;Electronics;45350; China
China South Industries Group;Automotive, Electronics;44785; China
China National Building Material Group;Building Materials, Glass;44701; China
China Shipbuilding Industry Corporation;Shipbuilding;44431; China
Mitsui;Engineering, various;44155; Japan
Wilmar International;Food & Beverages;43846; Singapore
Sinomach;Industrial Machinery;42638; China
Geely;Automotive;41172; China
ZF Friedrichshafen;Motor Vehicles & Parts;41080; Germany
Sanofi;Pharmaceuticals;40810; France
Honeywell;Engineering, various;40534; United States
Merck & Co.;Pharmaceuticals;40122; United States
Mitsubishi Electric;Engineering, various;39995; Japan
SABIC;Chemicals;39939; Saudi Arabia
Jardine Matheson;Motor Vehicles & Parts;39456; United Kingdom
Pegatron;Electronics;39238; Taiwan
AB Volvo;Automotive;39172; Sweden
Magna International;Motor Vehicles & Parts;38946; Canada
GlaxoSmithKline;Pharmaceuticals;38868; United Kingdom
Tyson Foods;Food & Beverages;38260; United States
Oracle Corporation;Electronics;37728; United States
Mitsubishi Heavy Industries;Engineering, various;37103; Japan
Fujitsu;Electronics;36991; Japan
